chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_M_1	G3BP_E_M_2	G3BP_E_M_3	G3BP_E_M_4	G3BP_E_M_5	G3BP_E_M_6
chr5	144158894	144158914	chr5-189	   77.10	-	ENSG00000145817	YIPF5	3'UTR	3'UTR	3'UTR	1	0.0002294841	3	3	3	3	2	2	2	1	2	3	1	1	0	1	3	2	32	0	6.610259e-06	0	0	8.975694e-06	2.118139e-06
chr5	146511053	146511073	chr5-12	  499.80	+	ENSG00000113649	TCERG1	3'UTR|Other|CDS_Retained_intron	3'UTR	3'UTR	3	0.001348039	3	3	3	3	2	2	2	1	2	4	2	3	1	2	3	5	41	0	6.610259e-06	0	0	3.889467e-05	1.906325e-05
chr5	148560202	148560222	chr5-2848	   17.60	+			Other|unannotated	Other	Other	2	0.0003876715	0	0	2	0	1	1	0	1	1	1	1	1	0	1	4	3	17	0.0001579779	1.322052e-05	0	0	2.991898e-06	4.236278e-06
chr5	151804402	151804422	chr5-7	  621.40	+	ENSG00000145907	G3BP1	3'UTR|CDS|intron|CDS_Retained_intron	3'UTR	3'UTR	4	0.002117329	3	3	3	3	2	2	2	1	1	4	2	3	1	3	3	6	42	0	6.610259e-06	0	0	1.495949e-05	6.354418e-06
chr5	154815010	154815030	chr5-34	  180.70	+	ENSG00000155506	LARP1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0008170706	3	3	3	3	2	2	1	2	2	3	1	2	1	3	4	4	39	0	1.322052e-05	6.775068e-05	0	5.983796e-06	2.118139e-06
chr5	154816558	154816578	chr5-18	  347.30	+	ENSG00000155506	LARP1	3'UTR|Other|CDS_Retained_intron	3'UTR	3'UTR	3	0.001695281	3	3	3	3	2	2	1	1	2	4	2	4	2	4	3	6	45	0	0	0	0.0002145002	2.991898e-06	6.354418e-06
chr5	154817032	154817052	chr5-17	  390.00	+	ENSG00000155506	LARP1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001217735	3	3	3	3	2	2	2	1	2	4	1	2	1	0	4	5	38	0	7.932311e-05	6.775068e-05	0	1.196759e-05	9.531626e-06
chr5	154817560	154817580	chr5-655	   26.90	+	ENSG00000155506	LARP1	3'UTR	3'UTR	3'UTR	1	8.529392e-05	3	3	2	3	1	1	0	0	1	2	1	1	0	2	3	2	25	0	6.610259e-06	0	0	8.975694e-06	1.05907e-06
chr5	157028221	157028241	chr5-15	  229.60	-	ENSG00000113249	HAVCR1	3'UTR	3'UTR	3'UTR	1	0.0009998447	3	3	3	3	2	2	1	1	2	4	1	2	2	1	3	6	39	0	5.949233e-05	0	0	2.094329e-05	2.329953e-05
chr5	157786750	157786770	chr5-19	  274.10	-	ENSG00000113282	CLINT1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0009395912	3	3	3	3	2	2	1	2	2	4	3	2	0	2	3	6	41	0	0	6.775068e-05	0	8.975694e-06	5.295348e-06
chr5	167130898	167130918	chr5-782	   33.10	-			unannotated	UnAn	UnAn	1	0.0006094321	0	0	2	2	1	1	0	0	0	1	2	2	0	2	3	3	19	0.0003159558	3.30513e-05	0	0	0	2.118139e-06
chr5	168556722	168556742	chr5-191	  102.70	-	ENSG00000120137	PANK3	3'UTR	3'UTR	3'UTR	1	0.0004558482	3	3	3	3	2	2	1	2	2	4	4	2	1	2	3	4	41	0	6.610259e-06	0	0	2.991898e-06	3.177209e-06
chr5	168557279	168557299	chr5-9	  772.60	-	ENSG00000120137	PANK3	3'UTR	3'UTR	3'UTR	1	0.002558187	3	3	3	3	2	2	2	2	2	4	3	4	2	3	3	4	45	0	6.610259e-06	0	0	5.983796e-06	9.531626e-06
chr5	174562270	174562290	chr5-20	  363.60	+				UnAn	UnAn	0	0.001428089	3	3	3	3	2	2	2	1	2	5	3	3	3	4	4	6	49	0	2.644104e-05	6.775068e-05	0	1.795139e-05	2.118139e-05
chr5	177456661	177456681	chr5-10	  485.20	-	ENSG00000113758	DBN1	3'UTR	3'UTR	3'UTR	1	0.001600197	3	3	3	3	2	2	2	2	2	4	1	2	1	1	4	5	40	0	1.322052e-05	0.0001355014	0	2.991898e-05	1.482697e-05
chr5	179614327	179614347	chr5-2	 3596.20	-	ENSG00000169045	HNRNPH1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.01116815	3	3	3	3	2	2	2	2	4	5	4	4	3	4	5	7	56	0	0.0002115283	6.775068e-05	0.0002145002	0.0002752546	0.0003558474
chr5	179614442	179614462	chr5-5	  580.90	-	ENSG00000169045	HNRNPH1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001949114	3	3	3	3	2	2	2	2	3	4	2	4	1	4	4	5	47	0.0001579779	6.610259e-06	0	0	3.590278e-05	1.588604e-05
chr5	179614769	179614789	chr5-1	 1902.10	-	ENSG00000169045	HNRNPH1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.005443107	3	3	3	3	2	2	2	2	3	5	2	4	1	3	3	7	48	0	1.322052e-05	0	0	5.385416e-05	8.790278e-05
chr5	179615638	179615658	chr5-29	  171.00	-	ENSG00000169045	HNRNPH1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0004647762	3	3	3	3	2	2	1	1	2	3	3	3	0	1	3	0	33	0	6.610259e-06	0	0	3.590278e-05	1.270884e-05
chr5	179728922	179728942	chr5-11	  570.70	+	ENSG00000127022	CANX	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.002163148	3	3	3	3	2	2	2	2	2	4	2	2	2	3	3	5	43	0	3.966155e-05	0	0	5.684606e-05	6.142604e-05
chr5	179729896	179729916	chr5-64	  159.10	+	ENSG00000127022	CANX	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0005755345	3	3	3	3	2	1	1	1	1	4	1	0	1	1	3	4	32	0	6.610259e-06	0	0	1.495949e-05	4.236278e-06
chr5	179730029	179730049	chr5-24	  358.30	+	ENSG00000127022	CANX	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001490301	3	3	3	3	2	1	1	1	2	4	1	1	0	1	4	5	35	0	1.322052e-05	0.0001355014	0.0002145002	0	2.118139e-06
chr5	180576038	180576058	chr5-96	  111.90	+	ENSG00000113300	CNOT6	3'UTR|Other	3'UTR	3'UTR	2	0.0006417907	2	3	3	3	2	1	1	1	2	3	1	0	0	1	3	5	31	0	0	0	0.0002145002	5.983796e-06	6.354418e-06
chr6	  2341827	  2341847	chr6-69	  413.40	+	ENSG00000250903	GMDS-DT	intron|lncRNA	lncRNA	ncRNA	2	0.001346108	3	3	3	3	2	2	2	2	3	4	2	2	1	3	3	6	44	0	0	6.775068e-05	0	1.795139e-05	2.647674e-05
chr6	  2888839	  2888859	chr6-282	   37.00	-	ENSG00000170542	SERPINB9	3'UTR	3'UTR	3'UTR	1	0.0001534233	3	3	3	3	1	2	0	1	1	2	0	0	1	0	3	3	26	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	  4428053	  4428073	chr6-49	  358.70	+	ENSG00000201185	RNA5SP202		UnAn	UnAn	0	0.003974395	3	3	3	3	2	2	2	2	3	4	3	4	3	4	3	2	46	0	6.610259e-06	0	0	8.078124e-05	2.647674e-05
chr6	  7251513	  7251533	chr6-6	  322.60	+	ENSG00000124782	RREB1	3'UTR	3'UTR	3'UTR	1	0.001333377	3	3	3	3	2	2	1	2	1	4	2	4	1	2	3	4	40	0	0	0.0001355014	0	4.487847e-05	1.05907e-06
chr6	  7481317	  7481337	chr6-4677	   52.40	+			unannotated	UnAn	UnAn	1	0.0007361203	3	3	3	3	2	2	1	2	1	2	2	3	2	2	3	2	36	0	0	6.775068e-05	0.0002145002	2.991898e-06	0
chr6	 16739153	 16739173	chr6-92	   70.10	-	ENSG00000124788	ATXN1	intron	intron	intron	1	0.0002627069	3	3	3	3	2	2	1	1	0	3	0	1	1	0	3	0	26	0	2.644104e-05	6.775068e-05	0	0	4.236278e-06
chr6	 18246213	 18246233	chr6-1567	   15.90	-	ENSG00000124795	DEK	intron|CDS_Retained_intron	CDS_RI	intron	2	3.585175e-05	1	1	3	3	1	1	1	0	0	1	0	0	0	0	3	0	15	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	 19840185	 19840205	chr6-383	   32.20	+	ENSG00000172201	ID4	3'UTR	3'UTR	3'UTR	1	0.0001910411	1	3	3	3	1	1	1	1	0	3	0	2	0	1	3	3	26	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr6	 24423771	 24423791	chr6-172	   52.90	+	ENSG00000124532	MRS2	3'UTR	3'UTR	3'UTR	1	0.0001618853	3	3	3	3	2	1	0	1	1	4	1	0	0	0	3	3	28	0	1.322052e-05	0	0	2.991898e-06	1.05907e-06
chr6	 24705053	 24705073	chr6-43	  115.00	-	ENSG00000112308	C6orf62	3'UTR	3'UTR	3'UTR	1	0.0003709753	2	3	3	3	2	2	1	0	1	3	0	1	0	1	3	2	27	0	2.644104e-05	0	0	1.495949e-05	9.531626e-06
chr6	 24705297	 24705317	chr6-5	  402.80	-	ENSG00000112308	C6orf62	3'UTR	3'UTR	3'UTR	1	0.001284527	3	3	3	3	2	2	2	2	2	4	2	3	4	1	3	5	44	0	1.983078e-05	0	0	3.889467e-05	3.071302e-05
chr6	 26327650	 26327670	chr6-6778	  190.40	+	ENSG00000291336		intron|tRNA	tRNA	ncRNA	2	0.001913625	3	3	3	3	2	2	2	2	3	3	3	4	3	4	3	2	45	0	0	0.0002710027	0.0002145002	0	2.118139e-06
chr6	 29635833	 29635853	chr6-640	   29.10	-				UnAn	UnAn	0	0.0003764227	2	1	3	3	2	2	2	1	1	3	1	1	2	1	3	3	31	0	0	0	0.0002145002	2.991898e-06	4.236278e-06
chr6	 31541110	 31541130	chr6-176	  112.80	-	ENSG00000198563	DDX39B	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	0.001165868	3	3	3	3	2	2	1	2	2	4	4	3	1	2	3	2	40	0	0	0.000203252	0	8.975694e-06	1.05907e-06
chr6	 34288358	 34288378	chr6-22	  170.10	-	ENSG00000270800	RPS10-NUDT3	3'UTR	3'UTR	3'UTR	1	0.0005101248	3	3	3	3	2	2	0	2	3	4	2	2	0	1	3	3	36	0	1.322052e-05	0	0	5.983796e-06	1.588604e-05
chr6	 36231986	 36232006	chr6-1370	   16.30	+	ENSG00000096070	BRPF3	3'UTR	3'UTR	3'UTR	1	0.0001408972	3	3	2	3	1	1	1	0	1	2	0	0	0	1	3	0	21	0	0	6.775068e-05	0	2.991898e-06	1.05907e-06
chr6	 36603090	 36603110	chr6-15	  314.70	+	ENSG00000112081	SRSF3	3'UTR	3'UTR	3'UTR	1	0.0008848253	3	3	3	3	2	2	1	1	2	5	3	0	0	1	3	4	36	0	3.966155e-05	0	0	2.991898e-06	1.270884e-05
chr6	 44253829	 44253849	chr6-35	  165.70	+	ENSG00000096384	HSP90AB1	3'UTR	3'UTR	3'UTR	1	0.0004623016	3	3	3	3	2	2	1	1	1	4	3	1	2	0	3	4	36	0	1.983078e-05	0	0	2.991898e-06	1.05907e-06
chr6	 52995878	 52995898	chr6-81	   77.60	+	ENSG00000202198	7SK	snRNA|Other	snRNA	ncRNA	2	0.0004505306	3	3	3	3	2	2	2	2	3	3	4	2	1	2	3	0	38	0	1.983078e-05	0	0	5.983796e-06	1.05907e-06
chr6	 53268430	 53268450	chr6-18	  532.80	-	ENSG00000012660	ELOVL5	3'UTR	3'UTR	3'UTR	1	0.001519956	3	3	3	3	2	2	1	1	3	4	3	3	2	2	3	6	44	0	6.610259e-06	0	0	1.196759e-05	4.236278e-06
chr6	 56468145	 56468165	chr6-108	   67.90	-	ENSG00000151914	DST	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0002216941	3	3	3	3	2	2	1	2	1	2	1	3	0	0	3	0	29	0	6.610259e-06	0	0	5.983796e-06	4.236278e-06
chr6	 63580744	 63580764	chr6-3	  658.00	+	ENSG00000112245	PTP4A1	3'UTR	3'UTR	3'UTR	1	0.002477328	3	3	3	3	2	2	2	2	2	5	3	3	2	2	4	5	46	0	6.610259e-06	6.775068e-05	0	3.291088e-05	2.118139e-05
chr6	 63581020	 63581040	chr6-268	   49.80	+	ENSG00000112245	PTP4A1	3'UTR	3'UTR	3'UTR	1	0.0003389788	2	3	3	3	2	2	0	1	1	3	0	0	0	0	3	3	26	0	0	0	0.0002145002	2.991898e-06	3.177209e-06
chr6	 63581098	 63581118	chr6-76	  108.40	+	ENSG00000112245	PTP4A1	3'UTR	3'UTR	3'UTR	1	0.0006329035	3	3	3	3	2	2	1	1	2	3	1	2	0	1	4	4	35	0	1.322052e-05	0	0.0002145002	5.983796e-06	1.05907e-06
chr6	 63582201	 63582221	chr6-9	  511.70	+	ENSG00000112245	PTP4A1	3'UTR	3'UTR	3'UTR	1	0.001507608	3	3	3	3	2	2	1	2	2	4	2	3	1	4	3	6	44	0	1.322052e-05	0	0	3.291088e-05	1.588604e-05
chr6	 65302114	 65302134	chr6-40	  236.20	+	ENSG00000214558	ZC3H11C	5'UTR	5'UTR	5'UTR	1	0.001400422	3	3	3	3	2	2	1	1	2	5	2	1	1	2	4	6	41	0	6.610259e-06	6.775068e-05	0	5.983796e-06	8.472557e-06
chr6	 73517583	 73517603	chr6-48	  114.60	-	ENSG00000156508	EEF1A1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.000605775	3	3	3	3	2	2	1	2	2	3	2	3	1	2	3	4	39	0	6.610259e-06	0	0	1.495949e-05	6.354418e-06
chr6	 77227510	 77227530	chr6-595	   25.10	-			unannotated	UnAn	UnAn	1	9.773183e-05	3	3	0	3	1	1	0	1	2	3	0	1	0	0	3	0	21	0	1.322052e-05	0	0	8.975694e-06	2.118139e-06
chr6	 78943986	 78944006	chr6-1359	   18.50	+	ENSG00000146243	IRAK1BP1	intron|TE	TE	TE	2	0.0003026195	0	0	0	0	1	1	0	0	0	3	1	0	0	2	3	3	14	0.0001579779	1.322052e-05	0	0	0	1.05907e-06
chr6	 78966558	 78966578	chr6-138	   71.80	-	ENSG00000146247	PHIP	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0003618754	3	3	3	3	2	2	2	1	1	4	1	1	0	1	3	1	31	0.0001579779	0	0	0	2.991898e-06	4.236278e-06
chr6	 79701616	 79701636	chr6-21	  262.70	+	ENSG00000198478	SH3BGRL2	3'UTR|Other	3'UTR	3'UTR	2	0.0007510793	3	3	3	3	2	2	1	2	2	4	0	2	0	0	3	4	34	0	6.610259e-06	0	0	2.094329e-05	1.164977e-05
chr6	 88007257	 88007277	chr6-251	   54.60	+			Other|unannotated	Other	Other	2	0.0004529156	0	1	3	2	1	1	1	1	0	3	2	2	0	2	3	4	26	0	1.322052e-05	0	0	5.983796e-06	1.05907e-06
chr6	 88275735	 88275755	chr6-2	 1940.90	-	ENSG00000234426		intron|lncRNA	lncRNA	ncRNA	2	0.00739227	3	3	3	3	2	2	2	2	3	5	3	4	4	4	4	7	54	0	0.0001189847	6.775068e-05	0	7.180555e-05	7.095766e-05
chr6	 89063574	 89063594	chr6-207	  238.40	-	ENSG00000223001	RNU2-61P	snRNA	snRNA	ncRNA	1	0.0006681373	3	3	3	3	2	2	1	2	2	4	3	3	1	2	3	1	38	0	0	6.775068e-05	0	5.983796e-06	5.295348e-06
chr6	100891019	100891039	chr6-87	  125.60	+				UnAn	UnAn	0	0.0006013085	1	3	3	3	2	2	1	1	3	4	1	2	0	3	3	4	36	0	0	6.775068e-05	0	5.983796e-06	4.236278e-06
chr6	109270445	109270465	chr6-725	   25.10	+	ENSG00000203799	CCDC162P	intron	intron	intron	1	9.933281e-05	2	3	3	3	2	1	1	1	1	3	2	0	0	1	3	1	27	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	110553284	110553304	chr6-1954	   18.50	+			Other|unannotated	Other	Other	2	0.0003962609	0	2	0	0	1	1	0	0	1	0	1	1	0	2	3	3	15	0.0003159558	1.322052e-05	0	0	0	2.118139e-06
chr6	113860752	113860772	chr6-12	  306.70	+	ENSG00000277443	MARCKS	3'UTR	3'UTR	3'UTR	1	0.00119521	3	3	3	3	2	2	2	2	2	4	2	1	1	2	3	5	40	0	6.610259e-06	0	0	8.975694e-06	7.413487e-06
chr6	113861085	113861105	chr6-10	  609.50	+	ENSG00000277443	MARCKS	3'UTR	3'UTR	3'UTR	1	0.002055862	3	3	3	3	2	2	1	2	2	4	2	3	2	2	3	6	43	0	5.288207e-05	0	0	0.0001107002	7.519394e-05
chr6	113862431	113862451	chr6-1	  510.30	+	ENSG00000277443	MARCKS	3'UTR|Other	3'UTR	3'UTR	2	0.001552584	3	3	3	3	2	2	2	2	2	4	2	3	1	2	3	4	41	0	3.966155e-05	0	0	2.094329e-05	1.164977e-05
chr6	115941472	115941492	chr6-72	   80.20	-	ENSG00000111816	FRK	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.000250244	3	3	3	3	2	2	1	0	1	4	0	1	0	1	3	4	31	0	1.322052e-05	0	0	2.991898e-06	4.236278e-06
chr6	119177582	119177602	chr6-755	   30.40	-	ENSG00000111885	MAN1A1	3'UTR	3'UTR	3'UTR	1	0.0001021001	0	3	3	3	1	2	1	1	0	3	1	0	0	0	3	2	23	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	120262314	120262334	chr6-1004	   20.30	+			unannotated	UnAn	UnAn	1	0.0004088101	1	2	1	1	1	2	1	1	1	1	2	2	2	2	4	3	27	0.0001579779	6.610259e-06	0	0	2.991898e-06	1.270884e-05
chr6	130870807	130870827	chr6-51	  150.70	-	ENSG00000079819	EPB41L2	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0003976874	3	3	3	3	2	2	0	2	1	3	1	2	0	0	3	2	30	0	4.627181e-05	0	0	5.983796e-06	8.472557e-06
chr6	131948557	131948577	chr6-185	   56.90	-	ENSG00000118523	CCN2	3'UTR	3'UTR	3'UTR	1	0.0002290446	3	3	3	3	2	2	1	0	1	3	2	3	1	0	3	3	33	0	6.610259e-06	0	0	5.983796e-06	4.236278e-06
chr6	132815352	132815372	chr6-56	 1091.20	+	ENSG00000112306	RPS12	intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	3	0.003342684	3	3	3	3	2	2	2	2	4	4	4	4	3	3	3	3	48	0	1.322052e-05	0	0	2.692708e-05	1.05907e-06
chr6	134296755	134296775	chr6-26	  187.30	-	ENSG00000118515	SGK1	intron	intron	intron	1	0.0005594314	3	3	3	3	2	2	1	1	2	3	0	1	0	1	3	3	31	0	2.644104e-05	0	0	5.983796e-06	3.177209e-06
chr6	134964806	134964826	chr6-7	  453.90	-	ENSG00000112339	HBS1L	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001575184	3	3	3	3	2	2	1	2	3	4	2	2	1	1	4	5	41	0	1.983078e-05	6.775068e-05	0	2.692708e-05	8.472557e-06
chr6	138572160	138572180	chr6-74	   96.10	-	ENSG00000135540	NHSL1	5'UTR|intron|CDS_Retained_intron	5'UTR	5'UTR	3	0.0003484426	3	3	3	3	2	2	1	1	3	4	1	0	1	0	3	2	32	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	141836067	141836087	chr6-508	   33.50	-			TE|unannotated	TE	TE	2	0.000539313	0	0	2	2	1	1	0	0	0	2	1	2	0	2	3	4	20	0.0001579779	3.30513e-05	0	0	0	2.118139e-06
chr6	143825665	143825685	chr6-83	  128.70	+	ENSG00000112419	PHACTR2	3'UTR|intron	3'UTR	3'UTR	2	0.0004478106	1	3	3	3	2	2	1	2	2	4	3	3	1	3	3	5	41	0	6.610259e-06	0	0	1.196759e-05	9.531626e-06
chr6	143825665	143825685	chr6-83	  128.70	+	ENSG00000112419	PHACTR2	3'UTR|intron	3'UTR	3'UTR	2	0.0004478106	1	3	3	3	2	2	1	2	2	4	3	3	1	3	3	5	41	0	6.610259e-06	0	0	1.196759e-05	9.531626e-06
chr6	143830295	143830315	chr6-20	  176.70	+	ENSG00000112419	PHACTR2	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0006959351	3	3	3	3	2	2	1	1	3	4	2	2	1	1	3	5	39	0	6.610259e-06	0	0	2.094329e-05	2.753581e-05
chr6	143830295	143830315	chr6-20	  176.70	+	ENSG00000112419	PHACTR2	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0006959351	3	3	3	3	2	2	1	1	3	4	2	2	1	1	3	5	39	0	6.610259e-06	0	0	2.094329e-05	2.753581e-05
chr6	146604218	146604238	chr6-557	  175.00	+	ENSG00000118492	ADGB	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0007186252	2	3	3	3	2	2	1	1	2	4	1	3	0	4	3	6	40	0	0	6.775068e-05	0	1.196759e-05	1.482697e-05
chr6	146604462	146604482	chr6-102	   79.80	+	ENSG00000118492	ADGB	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0003186133	3	3	3	3	2	2	0	1	1	3	0	1	1	1	3	4	31	0	1.322052e-05	0	0	8.975694e-06	3.177209e-06
chr6	157208758	157208778	chr6-61	  121.20	+	ENSG00000049618	ARID1B	3'UTR	3'UTR	3'UTR	1	0.0007146823	3	3	3	3	2	2	2	2	2	3	1	0	1	2	3	4	36	0	0	6.775068e-05	0.0002145002	0	1.05907e-06
chr6	158766139	158766159	chr6-1701	   14.10	-	ENSG00000092820	EZR	3'UTR	3'UTR	3'UTR	1	4.471191e-05	1	2	3	3	0	2	1	0	0	2	1	1	0	0	3	1	20	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr6	158766276	158766296	chr6-14	  355.20	-	ENSG00000092820	EZR	3'UTR	3'UTR	3'UTR	1	0.001962524	3	3	3	3	2	2	2	1	2	4	2	4	3	4	4	6	48	0	3.966155e-05	6.775068e-05	0	5.385416e-05	6.142604e-05
chr6	160106495	160106515	chr6-132	   86.80	+	ENSG00000197081	IGF2R	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0006344915	3	3	3	3	2	2	1	1	2	3	0	2	2	2	3	5	37	0	1.322052e-05	0	0.0002145002	0	6.354418e-06
chr6	163570910	163570930	chr6-4	  732.90	+	ENSG00000112531	QKI	3'UTR|Other|CDS_Retained_intron	3'UTR	3'UTR	3	0.001735845	3	3	3	3	2	2	1	2	2	4	1	2	0	1	3	4	36	0	2.644104e-05	0	0	2.094329e-05	1.800418e-05
chr6	163571829	163571849	chr6-27	  238.40	+	ENSG00000112531	QKI	3'UTR	3'UTR	3'UTR	1	0.0006114174	3	3	3	3	2	2	1	2	2	4	0	3	1	2	3	3	37	0	6.610259e-06	0	0	8.975694e-06	6.354418e-06
chr6	167211331	167211351	chr6-736	   37.00	+			Other|unannotated	Other	Other	2	0.0005450072	1	2	2	3	1	1	0	0	0	2	2	2	0	2	3	4	25	0.0001579779	2.644104e-05	0	0	0	5.295348e-06
chr6	167910985	167911005	chr6-54	  311.60	+	ENSG00000130396	AFDN	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0008342059	3	3	3	3	2	2	2	1	2	4	3	3	2	1	3	3	40	0	1.322052e-05	0	0	2.991898e-06	7.413487e-06
chr7	  5527294	  5527314	chr7-2	 1725.40	-	ENSG00000075624	ACTB	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.004820598	3	3	3	3	2	2	2	2	2	4	3	3	3	4	3	6	48	0	2.644104e-05	0	0	5.086226e-05	4.130371e-05
chr7	  5527480	  5527500	chr7-3	  735.60	-	ENSG00000075624	ACTB	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.003274376	3	3	3	3	2	2	2	2	3	4	3	4	1	4	5	6	50	0.0001579779	3.30513e-05	0.0004065041	0	2.991898e-05	2.753581e-05
chr7	  5527610	  5527630	chr7-1	 6692.70	-	ENSG00000075624	ACTB	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.02175231	3	3	3	3	2	2	2	2	4	5	3	4	4	4	5	7	56	0	0.0007667901	6.775068e-05	0.0002145002	0.0005295659	0.0004649316
chr7	  5527692	  5527712	chr7-31	  271.00	-	ENSG00000075624	ACTB	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001445605	3	3	3	3	2	2	1	1	3	4	0	2	2	4	4	6	43	0	2.644104e-05	6.775068e-05	0	2.393518e-05	7.413487e-06
chr7	  6461780	  6461800	chr7-50	  174.10	-	ENSG00000136240	KDELR2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0007491779	3	2	3	3	2	2	1	1	2	4	1	1	2	1	4	4	36	0	1.983078e-05	6.775068e-05	0	5.983796e-06	2.118139e-06
chr7	  6462173	  6462193	chr7-37	  245.50	-	ENSG00000136240	KDELR2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001217649	3	3	3	3	1	2	1	1	2	4	1	3	0	2	3	4	36	0	0	6.775068e-05	0.0002145002	2.991898e-06	0
chr7	  6462787	  6462807	chr7-8	  715.70	-	ENSG00000136240	KDELR2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001836016	3	3	3	3	2	2	2	2	2	4	1	2	1	2	3	3	38	0	6.610259e-06	0	0	1.495949e-05	1.164977e-05
chr7	 12233253	 12233273	chr7-83	   95.20	+	ENSG00000106460	TMEM106B	3'UTR|Other	3'UTR	3'UTR	2	0.000361788	3	3	3	3	2	2	1	1	1	3	0	1	2	1	3	2	31	0	1.983078e-05	0	0	2.991898e-06	5.295348e-06
chr7	 16706249	 16706269	chr7-22	  643.90	+	ENSG00000136261	BZW2	3'UTR	3'UTR	3'UTR	1	0.001706111	3	3	3	3	2	2	1	2	2	4	1	4	0	3	3	6	42	0	6.610259e-06	0	0	5.983796e-06	1.05907e-05
chr7	 22510405	 22510425	chr7-246	   49.80	-	ENSG00000105889	STEAP1B	intron	intron	intron	1	0.0002642076	1	3	3	3	2	2	0	1	0	3	2	1	0	2	3	5	31	0	6.610259e-06	0	0	1.196759e-05	5.295348e-06
chr7	 23505142	 23505162	chr7-7	  742.60	-	ENSG00000164548	TRA2A	3'UTR	3'UTR	3'UTR	1	0.002516496	3	3	3	3	2	2	2	2	2	4	3	3	2	2	5	7	48	0.0001579779	2.644104e-05	6.775068e-05	0	1.795139e-05	8.472557e-06
chr7	 23505262	 23505282	chr7-34	  140.10	-	ENSG00000164548	TRA2A	3'UTR	3'UTR	3'UTR	1	0.0004139544	3	3	3	3	2	2	1	1	1	3	1	1	1	1	3	4	33	0	1.322052e-05	0	0	1.495949e-05	3.177209e-06
chr7	 26189598	 26189618	chr7-211	   51.10	-	ENSG00000122566	HNRNPA2B1	downstream 10K|intron	intron	intron	2	0.0002510101	3	3	3	3	1	2	1	1	2	3	1	1	1	0	3	0	28	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr7	 26191374	 26191394	chr7-154	   76.20	-	ENSG00000122566	HNRNPA2B1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0002921806	3	3	3	3	2	2	2	1	2	3	3	1	1	0	3	1	33	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
